1678883657,0,0.692942083
1678883664,1,0.685487568
1678883670,2,0.678124428
1678883677,3,0.671415746
1678883683,4,0.664738834
1678883690,5,0.657384336
1678883696,6,0.648756921
1678883703,7,0.639511228
1678883710,8,0.630541563
1678883716,9,0.620331347
1678883723,10,0.609397173
1678883729,11,0.598244071
1678883736,12,0.583703279
1678883742,13,0.57198441
1678883749,14,0.554311454
1678883755,15,0.539547861
1678883763,16,0.522874355
1678883770,17,0.506324947
1678883776,18,0.489113688
1678883783,19,0.469258696
1678883790,20,0.450709552
1678883797,21,0.430205226
1678883804,22,0.417887241
1678883810,23,0.399200767
1678883817,24,0.382612199
1678883823,25,0.369211048
1678883830,26,0.350347698
1678883837,27,0.335810751
1678883844,28,0.318976909
1678883850,29,0.302543342
1678883856,30,0.290799201
1678883863,31,0.271222353
1678883869,32,0.26143989
1678883876,33,0.257888913
1678883882,34,0.236679584
1678883889,35,0.228561133
1678883895,36,0.21567668
1678883902,37,0.204860434
1678883909,38,0.203395233
1678883916,39,0.188015476
1678883922,40,0.177773148
1678883929,41,0.167851985
1678883936,42,0.160936639
1678883943,43,0.151064768
1678883949,44,0.152403668
1678883956,45,0.153972536
1678883962,46,0.136710882
1678883968,47,0.132920668
1678883975,48,0.133243233
1678883981,49,0.119400129
